date,NEE,NEE_EPS,PE Ratio
1975-07-23,6.06,0.42,14.428571428571429
1975-07-24,5.94,0.42,14.142857142857144
1975-07-25,5.97,0.42,14.214285714285714
1975-07-28,5.88,0.42,14.0
1975-07-29,5.94,0.42,14.142857142857144
1975-07-30,5.88,0.42,14.0
1975-07-31,5.81,0.42,13.833333333333332
1975-08-01,5.78,0.42,13.761904761904763
1975-08-04,5.59,0.42,13.30952380952381
1975-08-05,5.56,0.42,13.238095238095237
1975-08-06,5.53,0.42,13.166666666666668
1975-08-07,5.5,0.42,13.095238095238095
1975-08-08,5.5,0.42,13.095238095238095
1975-08-11,5.41,0.42,12.880952380952381
1975-08-12,5.44,0.42,12.952380952380954
1975-08-13,5.41,0.42,12.880952380952381
1975-08-14,5.44,0.42,12.952380952380954
1975-08-15,5.47,0.42,13.023809523809524
1975-08-18,5.44,0.42,12.952380952380954
1975-08-19,5.44,0.42,12.952380952380954
1975-08-20,5.13,0.42,12.214285714285715
1975-08-21,5.13,0.42,12.214285714285715
1975-08-22,5.19,0.42,12.357142857142858
1975-08-25,5.28,0.42,12.571428571428573
1975-08-26,5.34,0.42,12.714285714285715
1975-08-27,5.31,0.42,12.642857142857142
1975-08-28,5.41,0.42,12.880952380952381
1975-08-29,5.38,0.42,12.80952380952381
1975-09-02,5.38,0.42,12.80952380952381
1975-09-03,5.28,0.42,12.571428571428573
1975-09-04,5.28,0.42,12.571428571428573
1975-09-05,5.31,0.42,12.642857142857142
1975-09-08,5.41,0.42,12.880952380952381
1975-09-09,5.38,0.42,12.80952380952381
1975-09-10,5.19,0.42,12.357142857142858
1975-09-11,5.31,0.42,12.642857142857142
1975-09-12,5.19,0.42,12.357142857142858
1975-09-15,5.16,0.42,12.285714285714286
1975-09-16,5.16,0.42,12.285714285714286
1975-09-17,5.16,0.42,12.285714285714286
1975-09-18,5.06,0.42,12.047619047619047
1975-09-19,5.38,0.42,12.80952380952381
1975-09-22,5.5,0.42,13.095238095238095
1975-09-23,5.47,0.42,13.023809523809524
1975-09-24,5.47,0.42,13.023809523809524
1975-09-25,5.53,0.42,13.166666666666668
1975-09-26,5.63,0.42,13.404761904761905
1975-09-29,5.69,0.42,13.54761904761905
1975-09-30,5.72,0.42,13.619047619047619
1975-10-01,5.53,0.42,13.166666666666668
1975-10-02,5.53,0.42,13.166666666666668
1975-10-03,5.69,0.42,13.54761904761905
1975-10-06,5.78,0.42,13.761904761904763
1975-10-07,5.81,0.42,13.833333333333332
1975-10-08,5.94,0.42,14.142857142857144
1975-10-09,6.03,0.42,14.357142857142858
1975-10-10,5.94,0.42,14.142857142857144
1975-10-13,6.03,0.42,14.357142857142858
1975-10-14,6.06,0.42,14.428571428571429
1975-10-15,6.16,0.42,14.666666666666668
1975-10-16,6.44,0.42,15.333333333333336
1975-10-17,6.41,0.42,15.261904761904763
1975-10-20,6.5,0.42,15.476190476190476
1975-10-21,6.5,0.42,15.476190476190476
1975-10-22,6.44,0.42,15.333333333333336
1975-10-23,6.38,0.42,15.190476190476192
1975-10-24,6.34,0.42,15.095238095238095
1975-10-27,6.25,0.42,14.880952380952381
1975-10-28,6.34,0.42,15.095238095238095
1975-10-29,6.38,0.42,15.190476190476192
1975-10-30,6.34,0.42,15.095238095238095
1975-10-31,6.28,0.42,14.952380952380954
1975-11-03,6.28,0.42,14.952380952380954
1975-11-04,6.31,0.42,15.023809523809524
1975-11-05,6.38,0.42,15.190476190476192
1975-11-06,6.5,0.42,15.476190476190476
1975-11-07,6.63,0.42,15.785714285714286
1975-11-10,6.5,0.42,15.476190476190476
1975-11-11,6.47,0.42,15.404761904761905
1975-11-12,6.59,0.42,15.690476190476192
1975-11-13,6.63,0.42,15.785714285714286
1975-11-14,6.63,0.42,15.785714285714286
1975-11-17,6.72,0.42,16.0
1975-11-18,6.84,0.42,16.285714285714285
1975-11-19,6.78,0.42,16.142857142857142
1975-11-20,6.53,0.42,15.54761904761905
1975-11-21,6.47,0.42,15.404761904761905
1975-11-24,6.47,0.42,15.404761904761905
1975-11-25,6.59,0.42,15.690476190476192
1975-11-26,6.59,0.42,15.690476190476192
1975-11-28,6.66,0.42,15.857142857142858
1975-12-01,6.56,0.42,15.619047619047619
1975-12-02,6.38,0.42,15.190476190476192
1975-12-03,6.19,0.42,14.738095238095239
1975-12-04,6.06,0.42,14.428571428571429
1975-12-05,5.97,0.42,14.214285714285714
1975-12-08,6.0,0.42,14.285714285714286
1975-12-09,6.0,0.42,14.285714285714286
1975-12-10,6.06,0.42,14.428571428571429
1975-12-11,6.25,0.42,14.880952380952381
1975-12-12,6.28,0.42,14.952380952380954
1975-12-15,6.28,0.42,14.952380952380954
1975-12-16,6.41,0.42,15.261904761904763
1975-12-17,6.41,0.42,15.261904761904763
1975-12-18,6.41,0.42,15.261904761904763
1975-12-19,6.41,0.42,15.261904761904763
1975-12-22,6.53,0.42,15.54761904761905
1975-12-23,6.53,0.42,15.54761904761905
1975-12-24,6.5,0.42,15.476190476190476
1975-12-26,6.63,0.42,15.785714285714286
1975-12-29,6.66,0.42,15.857142857142858
1975-12-30,6.66,0.42,15.857142857142858
1975-12-31,6.72,0.42,16.0
1976-01-02,6.75,0.42,16.071428571428573
1976-01-05,6.88,0.42,16.38095238095238
1976-01-06,7.0,0.42,16.666666666666668
1976-01-07,7.06,0.42,16.80952380952381
1976-01-08,7.09,0.42,16.88095238095238
1976-01-09,7.16,0.42,17.047619047619047
1976-01-12,7.13,0.42,16.976190476190478
1976-01-13,7.0,0.42,16.666666666666668
1976-01-14,6.91,0.42,16.452380952380953
1976-01-15,6.84,0.42,16.285714285714285
1976-01-16,6.72,0.42,16.0
1976-01-19,6.63,0.42,15.785714285714286
1976-01-20,6.63,0.42,15.785714285714286
1976-01-21,6.56,0.42,15.619047619047619
1976-01-22,6.5,0.42,15.476190476190476
1976-01-23,6.5,0.42,15.476190476190476
1976-01-26,6.5,0.42,15.476190476190476
1976-01-27,6.5,0.42,15.476190476190476
1976-01-28,6.41,0.42,15.261904761904763
1976-01-29,6.41,0.42,15.261904761904763
1976-01-30,6.53,0.42,15.54761904761905
1976-02-02,6.63,0.42,15.785714285714286
1976-02-03,6.56,0.42,15.619047619047619
1976-02-04,6.5,0.42,15.476190476190476
1976-02-05,6.5,0.42,15.476190476190476
1976-02-06,6.38,0.42,15.190476190476192
1976-02-09,6.47,0.42,15.404761904761905
1976-02-10,6.5,0.42,15.476190476190476
1976-02-11,6.41,0.42,15.261904761904763
1976-02-12,6.47,0.42,15.404761904761905
1976-02-13,6.38,0.42,15.190476190476192
1976-02-17,6.47,0.42,15.404761904761905
1976-02-18,6.41,0.42,15.261904761904763
1976-02-19,6.5,0.42,15.476190476190476
1976-02-20,6.41,0.42,15.261904761904763
1976-02-23,6.47,0.42,15.404761904761905
1976-02-24,6.38,0.42,15.190476190476192
1976-02-25,6.41,0.42,15.261904761904763
1976-02-26,6.31,0.42,15.023809523809524
1976-02-27,6.22,0.42,14.80952380952381
1976-03-01,6.31,0.42,15.023809523809524
1976-03-02,6.34,0.42,15.095238095238095
1976-03-03,6.13,0.42,14.595238095238095
1976-03-04,6.06,0.42,14.428571428571429
1976-03-05,6.0,0.42,14.285714285714286
1976-03-08,5.88,0.42,14.0
1976-03-09,5.97,0.42,14.214285714285714
1976-03-10,5.97,0.42,14.214285714285714
1976-03-11,6.0,0.42,14.285714285714286
1976-03-12,6.0,0.42,14.285714285714286
1976-03-15,5.84,0.42,13.904761904761905
1976-03-16,5.91,0.42,14.071428571428573
1976-03-17,5.88,0.42,14.0
1976-03-18,5.91,0.42,14.071428571428573
1976-03-19,6.0,0.42,14.285714285714286
1976-03-22,6.03,0.42,14.357142857142858
1976-03-23,6.06,0.42,14.428571428571429
1976-03-24,6.06,0.42,14.428571428571429
1976-03-25,6.06,0.42,14.428571428571429
1976-03-26,6.13,0.42,14.595238095238095
1976-03-29,6.13,0.42,14.595238095238095
1976-03-30,6.16,0.42,14.666666666666668
1976-03-31,6.13,0.42,14.595238095238095
1976-04-01,6.06,0.42,14.428571428571429
1976-04-02,6.06,0.42,14.428571428571429
1976-04-05,6.09,0.42,14.5
1976-04-06,6.09,0.42,14.5
1976-04-07,6.06,0.42,14.428571428571429
1976-04-08,5.94,0.42,14.142857142857144
1976-04-09,5.94,0.42,14.142857142857144
1976-04-12,6.03,0.42,14.357142857142858
1976-04-13,6.13,0.42,14.595238095238095
1976-04-14,6.13,0.42,14.595238095238095
1976-04-15,6.19,0.42,14.738095238095239
1976-04-19,6.22,0.42,14.80952380952381
1976-04-20,6.38,0.42,15.190476190476192
1976-04-21,6.47,0.42,15.404761904761905
1976-04-22,6.41,0.42,15.261904761904763
1976-04-23,6.44,0.42,15.333333333333336
1976-04-26,6.5,0.42,15.476190476190476
1976-04-27,6.34,0.42,15.095238095238095
1976-04-28,6.38,0.42,15.190476190476192
1976-04-29,6.34,0.42,15.095238095238095
1976-04-30,6.16,0.42,14.666666666666668
1976-05-03,6.09,0.42,14.5
1976-05-04,6.09,0.42,14.5
1976-05-05,6.03,0.42,14.357142857142858
1976-05-06,6.09,0.42,14.5
1976-05-07,6.13,0.42,14.595238095238095
1976-05-10,6.13,0.42,14.595238095238095
1976-05-11,6.06,0.42,14.428571428571429
1976-05-12,6.0,0.42,14.285714285714286
1976-05-13,6.0,0.42,14.285714285714286
1976-05-14,5.94,0.42,14.142857142857144
1976-05-17,5.84,0.42,13.904761904761905
1976-05-18,5.59,0.42,13.30952380952381
1976-05-19,5.59,0.42,13.30952380952381
1976-05-20,5.47,0.42,13.023809523809524
1976-05-21,5.38,0.42,12.80952380952381
1976-05-24,5.28,0.42,12.571428571428573
1976-05-25,5.19,0.42,12.357142857142858
1976-05-26,5.38,0.42,12.80952380952381
1976-05-27,5.38,0.42,12.80952380952381
1976-05-28,5.47,0.42,13.023809523809524
1976-06-01,5.5,0.42,13.095238095238095
1976-06-02,5.47,0.42,13.023809523809524
1976-06-03,5.59,0.42,13.30952380952381
1976-06-04,5.63,0.42,13.404761904761905
1976-06-07,5.72,0.42,13.619047619047619
1976-06-08,5.75,0.42,13.690476190476192
1976-06-09,5.81,0.42,13.833333333333332
1976-06-10,6.0,0.42,14.285714285714286
1976-06-11,6.03,0.42,14.357142857142858
1976-06-14,5.94,0.42,14.142857142857144
1976-06-15,5.94,0.42,14.142857142857144
1976-06-16,5.91,0.42,14.071428571428573
1976-06-17,6.0,0.42,14.285714285714286
1976-06-18,5.97,0.42,14.214285714285714
1976-06-21,5.91,0.42,14.071428571428573
1976-06-22,5.78,0.42,13.761904761904763
1976-06-23,5.78,0.42,13.761904761904763
1976-06-24,5.75,0.42,13.690476190476192
1976-06-25,5.78,0.42,13.761904761904763
1976-06-28,5.78,0.42,13.761904761904763
1976-06-29,5.84,0.42,13.904761904761905
1976-06-30,5.97,0.42,14.214285714285714
1976-07-01,5.94,0.42,14.142857142857144
1976-07-02,6.06,0.42,14.428571428571429
1976-07-06,6.03,0.42,14.357142857142858
1976-07-07,6.03,0.42,14.357142857142858
1976-07-08,6.03,0.42,14.357142857142858
1976-07-09,6.22,0.42,14.80952380952381
1976-07-12,6.28,0.42,14.952380952380954
1976-07-13,6.28,0.42,14.952380952380954
1976-07-14,6.28,0.42,14.952380952380954
1976-07-15,6.22,0.42,14.80952380952381
1976-07-16,6.19,0.42,14.738095238095239
1976-07-19,6.13,0.42,14.595238095238095
1976-07-20,6.06,0.42,14.428571428571429
1976-07-21,6.06,0.42,14.428571428571429
1976-07-22,6.0,0.42,14.285714285714286
1976-07-23,5.88,0.42,14.0
1976-07-26,5.81,0.42,13.833333333333332
1976-07-27,5.84,0.42,13.904761904761905
1976-07-28,5.81,0.42,13.833333333333332
1976-07-29,5.75,0.42,13.690476190476192
1976-07-30,5.78,0.42,13.761904761904763
1976-08-02,5.81,0.42,13.833333333333332
1976-08-03,6.0,0.42,14.285714285714286
1976-08-04,6.03,0.42,14.357142857142858
1976-08-05,6.03,0.42,14.357142857142858
1976-08-06,6.09,0.42,14.5
1976-08-09,6.06,0.42,14.428571428571429
1976-08-10,6.19,0.42,14.738095238095239
1976-08-11,6.22,0.42,14.80952380952381
1976-08-12,6.19,0.42,14.738095238095239
1976-08-13,6.25,0.42,14.880952380952381
1976-08-16,6.25,0.42,14.880952380952381
1976-08-17,6.22,0.42,14.80952380952381
1976-08-18,6.25,0.42,14.880952380952381
1976-08-19,6.19,0.42,14.738095238095239
1976-08-20,6.19,0.42,14.738095238095239
1976-08-23,6.19,0.42,14.738095238095239
1976-08-24,6.25,0.42,14.880952380952381
1976-08-25,6.06,0.42,14.428571428571429
1976-08-26,5.94,0.42,14.142857142857144
1976-08-27,5.97,0.42,14.214285714285714
1976-08-30,6.0,0.42,14.285714285714286
1976-08-31,6.0,0.42,14.285714285714286
1976-09-01,6.13,0.42,14.595238095238095
1976-09-02,6.16,0.42,14.666666666666668
1976-09-03,6.19,0.42,14.738095238095239
1976-09-07,6.41,0.42,15.261904761904763
1976-09-08,6.5,0.42,15.476190476190476
1976-09-09,6.59,0.42,15.690476190476192
1976-09-10,6.63,0.42,15.785714285714286
1976-09-13,6.59,0.42,15.690476190476192
1976-09-14,6.56,0.42,15.619047619047619
1976-09-15,6.56,0.42,15.619047619047619
1976-09-16,6.63,0.42,15.785714285714286
1976-09-17,6.69,0.42,15.92857142857143
1976-09-20,6.75,0.42,16.071428571428573
1976-09-21,6.72,0.42,16.0
1976-09-22,6.84,0.42,16.285714285714285
1976-09-23,6.72,0.42,16.0
1976-09-24,6.75,0.42,16.071428571428573
1976-09-27,6.59,0.42,15.690476190476192
1976-09-28,6.66,0.42,15.857142857142858
1976-09-29,6.66,0.42,15.857142857142858
1976-09-30,6.66,0.42,15.857142857142858
1976-10-01,6.56,0.42,15.619047619047619
1976-10-04,6.56,0.42,15.619047619047619
1976-10-05,6.56,0.42,15.619047619047619
1976-10-06,6.56,0.42,15.619047619047619
1976-10-07,6.56,0.42,15.619047619047619
1976-10-08,6.63,0.42,15.785714285714286
1976-10-11,6.53,0.42,15.54761904761905
1976-10-12,6.41,0.42,15.261904761904763
1976-10-13,6.53,0.42,15.54761904761905
1976-10-14,6.47,0.42,15.404761904761905
1976-10-15,6.44,0.42,15.333333333333336
1976-10-18,6.47,0.42,15.404761904761905
1976-10-19,6.41,0.42,15.261904761904763
1976-10-20,6.31,0.42,15.023809523809524
1976-10-21,6.28,0.42,14.952380952380954
1976-10-22,6.22,0.42,14.80952380952381
1976-10-25,6.16,0.42,14.666666666666668
1976-10-26,6.16,0.42,14.666666666666668
1976-10-27,6.19,0.42,14.738095238095239
1976-10-28,6.19,0.42,14.738095238095239
1976-10-29,6.16,0.42,14.666666666666668
1976-11-01,6.19,0.42,14.738095238095239
1976-11-03,6.13,0.42,14.595238095238095
1976-11-04,6.03,0.42,14.357142857142858
1976-11-05,6.06,0.42,14.428571428571429
1976-11-08,6.0,0.42,14.285714285714286
1976-11-09,6.0,0.42,14.285714285714286
1976-11-10,6.0,0.42,14.285714285714286
1976-11-11,6.03,0.42,14.357142857142858
1976-11-12,5.97,0.42,14.214285714285714
1976-11-15,6.09,0.42,14.5
1976-11-16,6.28,0.42,14.952380952380954
1976-11-17,6.44,0.42,15.333333333333336
1976-11-18,6.53,0.42,15.54761904761905
1976-11-19,6.53,0.42,15.54761904761905
1976-11-22,6.5,0.42,15.476190476190476
1976-11-23,6.41,0.42,15.261904761904763
1976-11-24,6.44,0.42,15.333333333333336
1976-11-26,6.53,0.42,15.54761904761905
1976-11-29,6.5,0.42,15.476190476190476
1976-11-30,6.47,0.42,15.404761904761905
1976-12-01,6.56,0.42,15.619047619047619
1976-12-02,6.56,0.42,15.619047619047619
1976-12-03,6.69,0.42,15.92857142857143
1976-12-06,6.81,0.42,16.214285714285715
1976-12-07,6.97,0.42,16.595238095238095
1976-12-08,6.94,0.42,16.523809523809526
1976-12-09,6.91,0.42,16.452380952380953
1976-12-10,6.94,0.42,16.523809523809526
1976-12-13,6.91,0.42,16.452380952380953
1976-12-14,6.97,0.42,16.595238095238095
1976-12-15,6.94,0.42,16.523809523809526
1976-12-16,6.94,0.42,16.523809523809526
1976-12-17,6.91,0.42,16.452380952380953
1976-12-20,6.97,0.42,16.595238095238095
1976-12-21,6.97,0.42,16.595238095238095
1976-12-22,7.0,0.42,16.666666666666668
1976-12-23,7.0,0.42,16.666666666666668
1976-12-27,6.97,0.42,16.595238095238095
1976-12-28,6.97,0.42,16.595238095238095
1976-12-29,6.81,0.42,16.214285714285715
1976-12-30,6.84,0.42,16.285714285714285
1976-12-31,6.91,0.42,16.452380952380953
1977-01-03,6.94,0.42,16.523809523809526
1977-01-04,6.91,0.42,16.452380952380953
1977-01-05,6.84,0.42,16.285714285714285
1977-01-06,6.84,0.42,16.285714285714285
1977-01-07,6.88,0.42,16.38095238095238
1977-01-10,6.91,0.42,16.452380952380953
1977-01-11,6.75,0.42,16.071428571428573
1977-01-12,6.69,0.42,15.92857142857143
1977-01-13,6.66,0.42,15.857142857142858
1977-01-14,6.63,0.42,15.785714285714286
1977-01-17,6.66,0.42,15.857142857142858
1977-01-18,6.34,0.42,15.095238095238095
1977-01-19,6.44,0.42,15.333333333333336
1977-01-20,6.47,0.42,15.404761904761905
1977-01-21,6.66,0.42,15.857142857142858
1977-01-24,6.88,0.42,16.38095238095238
1977-01-25,6.94,0.42,16.523809523809526
1977-01-26,6.97,0.42,16.595238095238095
1977-01-27,6.78,0.42,16.142857142857142
1977-01-28,6.78,0.42,16.142857142857142
1977-01-31,6.75,0.42,16.071428571428573
1977-02-01,6.88,0.42,16.38095238095238
1977-02-02,6.88,0.42,16.38095238095238
1977-02-03,6.81,0.42,16.214285714285715
1977-02-04,6.81,0.42,16.214285714285715
1977-02-07,6.81,0.42,16.214285714285715
1977-02-08,6.69,0.42,15.92857142857143
1977-02-09,6.47,0.42,15.404761904761905
1977-02-10,6.44,0.42,15.333333333333336
1977-02-11,6.34,0.42,15.095238095238095
1977-02-14,6.38,0.42,15.190476190476192
1977-02-15,6.41,0.42,15.261904761904763
1977-02-16,6.44,0.42,15.333333333333336
1977-02-17,6.5,0.42,15.476190476190476
1977-02-18,6.31,0.42,15.023809523809524
1977-02-22,6.28,0.42,14.952380952380954
1977-02-23,6.22,0.42,14.80952380952381
1977-02-24,6.0,0.42,14.285714285714286
1977-02-25,6.0,0.42,14.285714285714286
1977-02-28,5.94,0.42,14.142857142857144
1977-03-01,6.06,0.42,14.428571428571429
1977-03-02,6.16,0.42,14.666666666666668
1977-03-03,6.16,0.42,14.666666666666668
1977-03-04,6.19,0.42,14.738095238095239
1977-03-07,6.22,0.42,14.80952380952381
1977-03-08,6.28,0.42,14.952380952380954
1977-03-09,6.25,0.42,14.880952380952381
1977-03-10,6.28,0.42,14.952380952380954
1977-03-11,6.25,0.42,14.880952380952381
1977-03-14,6.28,0.42,14.952380952380954
1977-03-15,6.28,0.42,14.952380952380954
1977-03-16,6.31,0.42,15.023809523809524
1977-03-17,6.28,0.42,14.952380952380954
1977-03-18,6.28,0.42,14.952380952380954
1977-03-21,6.19,0.42,14.738095238095239
1977-03-22,6.13,0.42,14.595238095238095
1977-03-23,6.09,0.42,14.5
1977-03-24,6.0,0.42,14.285714285714286
1977-03-25,5.94,0.42,14.142857142857144
1977-03-28,5.94,0.42,14.142857142857144
1977-03-29,6.09,0.42,14.5
1977-03-30,6.03,0.42,14.357142857142858
1977-03-31,6.09,0.42,14.5
1977-04-01,6.28,0.42,14.952380952380954
1977-04-04,6.25,0.42,14.880952380952381
1977-04-05,6.22,0.42,14.80952380952381
1977-04-06,6.25,0.42,14.880952380952381
1977-04-07,6.28,0.42,14.952380952380954
1977-04-11,6.19,0.42,14.738095238095239
1977-04-12,6.31,0.42,15.023809523809524
1977-04-13,6.31,0.42,15.023809523809524
1977-04-14,6.5,0.42,15.476190476190476
1977-04-15,6.53,0.42,15.54761904761905
1977-04-18,6.41,0.42,15.261904761904763
1977-04-19,6.25,0.42,14.880952380952381
1977-04-20,6.28,0.42,14.952380952380954
1977-04-21,6.25,0.42,14.880952380952381
1977-04-22,6.16,0.42,14.666666666666668
1977-04-25,6.06,0.42,14.428571428571429
1977-04-26,6.03,0.42,14.357142857142858
1977-04-27,6.13,0.42,14.595238095238095
1977-04-28,6.25,0.42,14.880952380952381
1977-04-29,6.22,0.42,14.80952380952381
1977-05-02,6.25,0.42,14.880952380952381
1977-05-03,6.31,0.42,15.023809523809524
1977-05-04,6.53,0.42,15.54761904761905
1977-05-05,6.63,0.42,15.785714285714286
1977-05-06,6.59,0.42,15.690476190476192
1977-05-09,6.59,0.42,15.690476190476192
1977-05-10,6.56,0.42,15.619047619047619
1977-05-11,6.53,0.42,15.54761904761905
1977-05-12,6.53,0.42,15.54761904761905
1977-05-13,6.56,0.42,15.619047619047619
1977-05-16,6.5,0.42,15.476190476190476
1977-05-17,6.34,0.42,15.095238095238095
1977-05-18,6.5,0.42,15.476190476190476
1977-05-19,6.5,0.42,15.476190476190476
1977-05-20,6.5,0.42,15.476190476190476
1977-05-23,6.41,0.42,15.261904761904763
1977-05-24,6.44,0.42,15.333333333333336
1977-05-25,6.38,0.42,15.190476190476192
1977-05-26,6.41,0.42,15.261904761904763
1977-05-27,6.38,0.42,15.190476190476192
1977-05-31,6.44,0.42,15.333333333333336
1977-06-01,6.59,0.42,15.690476190476192
1977-06-02,6.63,0.42,15.785714285714286
1977-06-03,6.69,0.42,15.92857142857143
1977-06-06,6.69,0.42,15.92857142857143
1977-06-07,6.69,0.42,15.92857142857143
1977-06-08,6.88,0.42,16.38095238095238
1977-06-09,6.88,0.42,16.38095238095238
1977-06-10,6.88,0.42,16.38095238095238
1977-06-13,6.88,0.42,16.38095238095238
1977-06-14,6.91,0.42,16.452380952380953
1977-06-15,6.91,0.42,16.452380952380953
1977-06-16,6.88,0.42,16.38095238095238
1977-06-17,6.88,0.42,16.38095238095238
1977-06-20,6.84,0.42,16.285714285714285
1977-06-21,6.94,0.42,16.523809523809526
1977-06-22,6.88,0.42,16.38095238095238
1977-06-23,6.81,0.42,16.214285714285715
1977-06-24,6.78,0.42,16.142857142857142
1977-06-27,6.72,0.42,16.0
1977-06-28,6.75,0.42,16.071428571428573
1977-06-29,6.75,0.42,16.071428571428573
1977-06-30,6.78,0.42,16.142857142857142
1977-07-01,6.75,0.42,16.071428571428573
1977-07-05,6.78,0.42,16.142857142857142
1977-07-06,6.94,0.42,16.523809523809526
1977-07-07,6.88,0.42,16.38095238095238
1977-07-08,6.97,0.42,16.595238095238095
1977-07-11,6.94,0.42,16.523809523809526
1977-07-12,7.03,0.42,16.73809523809524
1977-07-13,7.06,0.42,16.80952380952381
1977-07-15,7.03,0.42,16.73809523809524
1977-07-18,7.0,0.42,16.666666666666668
1977-07-19,6.97,0.42,16.595238095238095
1977-07-20,6.91,0.42,16.452380952380953
1977-07-21,6.97,0.42,16.595238095238095
1977-07-22,6.94,0.42,16.523809523809526
1977-07-25,6.97,0.42,16.595238095238095
1977-07-26,7.0,0.42,16.666666666666668
1977-07-27,6.94,0.42,16.523809523809526
1977-07-28,6.81,0.42,16.214285714285715
1977-07-29,6.75,0.42,16.071428571428573
1977-08-01,6.81,0.42,16.214285714285715
1977-08-02,6.78,0.42,16.142857142857142
1977-08-03,6.81,0.42,16.214285714285715
1977-08-04,6.78,0.42,16.142857142857142
1977-08-05,6.78,0.42,16.142857142857142
1977-08-08,6.78,0.42,16.142857142857142
1977-08-09,6.75,0.42,16.071428571428573
1977-08-10,6.78,0.42,16.142857142857142
1977-08-11,6.69,0.42,15.92857142857143
1977-08-12,6.72,0.42,16.0
1977-08-15,6.72,0.42,16.0
1977-08-16,6.69,0.42,15.92857142857143
1977-08-17,6.69,0.42,15.92857142857143
1977-08-18,6.66,0.42,15.857142857142858
1977-08-19,6.56,0.42,15.619047619047619
1977-08-22,6.5,0.42,15.476190476190476
1977-08-23,6.47,0.42,15.404761904761905
1977-08-24,6.5,0.42,15.476190476190476
1977-08-25,6.47,0.42,15.404761904761905
1977-08-26,6.41,0.42,15.261904761904763
1977-08-29,6.44,0.42,15.333333333333336
1977-08-30,6.5,0.42,15.476190476190476
1977-08-31,6.47,0.42,15.404761904761905
1977-09-01,6.31,0.42,15.023809523809524
1977-09-02,6.34,0.42,15.095238095238095
1977-09-06,6.31,0.42,15.023809523809524
1977-09-07,6.34,0.42,15.095238095238095
1977-09-08,6.41,0.42,15.261904761904763
